,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
5300,56675,2267,41.3904197,2.1351509,801904022.0,8029.0,3,18,1,0,3
5301,39825,1593,41.3881197,2.1331509,801904022.0,8029.0,4,12,1,0,3
5305,17168,928,41.4079879,2.2093437,801910076.0,8019.0,4,6,1,0,3
5315,27000,1080,41.3910197,2.1335509,801904022.0,8029.0,5,8,1,0,3
5326,21082,937,41.4053546,2.2002991,801910070.0,8005.0,6,0,1,0,3
5335,20519,1207,41.4115594,2.168445,801907005.0,8025.0,4,2,1,0,3
5336,31940,1879,41.4117594,2.167245,801907005.0,8025.0,1,0,1,0,3
5360,80661,3841,41.3924318,2.1231297,801905014.0,8034.0,0,0,0,0,3
5383,6524,932,41.3951791,2.1913132,801910052.0,8005.0,2,1,1,0,3
5424,1700,2800,41.3898747,2.1661671,801902079.0,8007.0,0,4,1,0,3
5440,25480,1040,41.3918737,2.1345398,801904022.0,8029.0,3,0,1,0,3
5477,17256,958,41.4091108,2.1706305,801902042.0,8025.0,0,3,1,0,3
5483,12000,800,41.3658004,2.134442,801903028.0,8038.0,0,0,1,0,3
5507,31200,1040,41.3894737,2.1366398,801904022.0,8029.0,3,4,1,0,3
5552,27880,1700,41.3923523,2.1399474,801904021.0,8029.0,1,2,1,0,3
5555,17808,848,41.3949318,2.1221297,801905014.0,8034.0,1,4,1,0,3
5556,80346,3826,41.3941814,2.121817,801905014.0,8034.0,0,0,1,1,3
5572,25520,1160,41.3978989,2.1891424,801910043.0,8018.0,8,4,1,0,3
5573,32907,1567,41.3927473,2.1223227,801905017.0,8034.0,0,0,1,0,3
5575,47418,2258,41.3937318,2.1214297,801905014.0,8034.0,0,0,1,1,3
5577,41820,1720,41.3871312,2.1298544,801904027.0,8014.0,5,4,1,0,3
5589,38493,1603,41.3903857,2.1670243,801902079.0,8007.0,4,0,0,0,3
5619,22000,1500,41.3884164,2.1673495,801902079.0,8007.0,0,7,1,0,3
5625,16015,970,41.4066526,2.1703505,801902042.0,8025.0,1,0,0,0,3
5627,23000,1000,41.3893288,2.1667944,801902079.0,8007.0,0,0,0,0,3
5647,34000,1700,41.3914331,2.136712,801904021.0,8029.0,1,0,1,0,3
5648,21460,1160,41.3966989,2.1907424,801910043.0,8018.0,8,0,1,0,3
5688,21083,937,41.4047546,2.2011991,801910070.0,8005.0,6,0,1,0,3
5694,27880,1700,41.3894331,2.137212,801904021.0,8029.0,1,4,1,0,3
5718,89700,4600,41.4013304,2.1991475,801910064.0,8005.0,8,0,1,0,3
5771,22360,860,41.3904312,2.1295544,801904027.0,8028.0,4,0,0,0,3
5778,22360,860,41.3892312,2.1298544,801904027.0,8028.0,5,0,0,0,3
5779,22360,860,41.3900312,2.1312544,801904027.0,8028.0,10,0,1,0,3
5818,113200,4857,41.392169,2.1712361,801902072.0,8010.0,1,0,1,0,3
5821,133225,5372,41.3917419,2.176327,801902074.0,8010.0,1,0,1,0,3
5822,22360,860,41.3878312,2.1291544,801904027.0,8014.0,10,8,1,0,3
5836,109450,5472,41.3526109,2.1441071,801903025.0,8038.0,1,0,1,0,3
5837,22125,885,41.3894042,2.1710068,801902077.0,8010.0,2,0,1,0,3
5838,173675,6947,41.3894042,2.1710068,801902077.0,8010.0,1,0,1,0,3
5861,27887,1550,41.3938834,2.1535155,801905067.0,8006.0,3,4,0,0,3
5865,18494,841,41.4062908,2.20325,801910069.0,8005.0,3,0,0,0,3
5869,13472,842,41.4065205,2.2111111,801910076.0,8019.0,6,0,1,0,3
5891,42164,1874,41.4047546,2.2011991,801910070.0,8005.0,7,0,1,0,3
5905,20640,860,41.3903312,2.1311544,801904027.0,8014.0,4,4,1,0,3
5923,22360,860,41.3901312,2.1287544,801904027.0,8014.0,5,4,1,0,3
5947,24020,1201,41.394876,2.1481417,801905066.0,8021.0,1,0,1,0,3
5948,21082,937,41.4052546,2.2026991,801910070.0,8005.0,6,0,1,0,3
5955,15000,950,41.3934376,2.1647137,801902080.0,8009.0,2,3,1,0,3
5974,20445,1410,41.4018759,2.189925,801910042.0,8018.0,0,2,1,0,3
5977,28100,1405,41.3999989,2.1921424,801910043.0,8018.0,5,0,1,0,3
5984,23296,832,41.3894081,2.1304574,801904028.0,8028.0,5,4,0,0,3
5992,24586,1294,41.3548256,2.13827,801903030.0,8038.0,0,0,0,0,3
6002,11800,963,41.4009171,2.1875458,801910042.0,8018.0,6,0,1,0,3
6028,35560,1482,41.3989933,2.1982332,801910058.0,8005.0,3,2,1,0,3
6044,35559,1481,41.4019933,2.1952332,801910058.0,8005.0,0,0,0,0,3
6080,16005,970,41.4079108,2.1739305,801902042.0,8025.0,1,6,1,0,3
6090,36455,1585,41.4061893,2.1917599,801910042.0,8018.0,4,6,1,0,3
6093,43700,2300,41.4022304,2.1971475,801910064.0,8005.0,4,0,0,0,3
6094,21850,1150,41.4013304,2.1991475,801910064.0,8005.0,8,0,1,0,3
6096,64376,2476,41.4002752,2.2001916,801910064.0,8005.0,5,0,0,0,3
6102,24020,1201,41.394876,2.1499417,801905066.0,8021.0,1,8,1,0,3
6117,32375,2590,41.3415958,2.1232392,801903025.0,8040.0,1,2,1,0,3
6118,38970,1299,41.3962774,2.1527001,801905067.0,8006.0,3,0,1,0,3
6119,30030,1001,41.3930774,2.1536001,801905067.0,8006.0,7,0,1,0,3
