,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
357,4600,375,40.4474771,-3.702744,2807907117.0,28003.0,1,3,1,0,2
372,11200,448,40.4541395,-3.6943673,2807906046.0,28020.0,1,0,1,0,2
378,1290,200,40.468078,-3.6898135,2807906076.0,28029.0,0,2,1,0,2
379,12945,535,40.4316309,-3.6923171,2807907081.0,28010.0,1,2,1,0,2
389,7752,456,40.4610418,-3.695281,2807906064.0,28020.0,2,0,1,0,2
391,5474,238,40.4465755,-3.699245,2807907115.0,28003.0,1,0,1,0,2
392,13478,586,40.4459755,-3.701245,2807907115.0,28003.0,1,0,1,0,2
395,6137,341,40.4672223,-3.6924527,2807906074.0,28029.0,4,2,1,0,2
396,4800,242,40.4483192,-3.6957607,2807906028.0,28020.0,2,2,1,0,2
399,10224,426,40.4299042,-3.7013964,2807907057.0,28010.0,4,2,1,0,2
401,8300,332,40.4314042,-3.6993964,2807907057.0,28010.0,3,2,1,0,2
402,23482,796,40.4366953,-3.6931982,2807907093.0,28003.0,5,0,1,0,2
405,8613,325,40.4307811,-3.6853069,2807904115.0,28001.0,5,2,1,0,2
406,7105,352,40.4167064,-3.6984714,2807901072.0,28014.0,2,2,1,1,2
407,5723,358,40.4441155,-3.6553538,2807915147.0,28027.0,4,2,1,0,2
409,5617,535,40.433068,-3.631567,2807920001.0,28037.0,3,2,1,0,2
412,4800,320,40.431656,-3.6557971,2807915115.0,28027.0,3,4,1,0,2
419,3125,250,40.4633682,-3.7848363,2807909091.0,28023.0,2,0,1,0,2
423,6314,549,40.4688398,-3.8168376999999998,2807909072.0,28023.0,0,0,0,0,2
428,4500,300,40.4234468,-3.6797296,2807904014.0,28009.0,5,2,1,0,2
431,6600,250,40.4226891,-3.6846949,2807904012.0,28001.0,4,2,1,0,2
436,6220,429,40.4732344,-3.6337247,2807916096.0,28033.0,4,0,0,0,2
440,6143,455,40.4312035,-3.6319403,2807920100.0,28037.0,0,0,1,0,2
447,9999,606,40.4572915,-3.6558912,2807915174.0,28043.0,5,0,0,0,2
449,3380,260,40.4836025,-3.6698637,2807915173.0,28033.0,3,0,1,0,2
451,4312,308,40.4349107,-3.6304277,2807920001.0,28037.0,0,0,0,0,2
452,12650,550,40.4284814,-3.6858091,2807904008.0,28001.0,3,0,1,0,2
457,13980,466,40.4615631,-3.6912026,2807906065.0,28046.0,5,2,1,0,2
458,4400,200,40.418942,-3.7065255,2807901117.0,28013.0,8,0,1,0,2
459,9620,740,40.5001943,-3.6673545,2807908171.0,28050.0,4,2,1,0,2
460,9028,488,40.4832445,-3.6659285,2807915170.0,28033.0,1,2,1,0,2
463,14374,422,40.4263005,-3.691108,2807907075.0,28004.0,3,0,0,0,2
467,4880,222,40.3938857,-3.6758021,2807902083.0,28045.0,1,2,1,0,2
468,10640,380,40.421213,-3.6889081,2807904001.0,28014.0,5,1,1,0,2
477,7200,360,40.4216226,-3.6867295,2807904003.0,28009.0,6,1,1,0,2
483,3500,300,40.4225468,-3.6790296,2807904014.0,28009.0,1,2,1,0,2
484,10000,768,40.435956,-3.6830796,2807904124.0,28006.0,1,3,1,0,2
485,4000,250,40.4323789,-3.6817808,2807904126.0,28006.0,1,2,1,0,2
486,3500,240,40.4349789,-3.6839808,2807904126.0,28006.0,2,2,1,0,2
487,4500,250,40.4356789,-3.6812808,2807904126.0,28006.0,1,2,1,0,2
491,12000,288,40.4316059,-3.6851905,2807904117.0,28001.0,1,1,1,0,2
493,12240,340,40.4370629,-3.6882079,2807904130.0,28046.0,1,0,1,0,2
496,19213,367,40.4350144,-3.689662,2807907082.0,28046.0,7,2,1,0,2
499,24704,772,40.4384362,-3.6883183,2807905002.0,28006.0,6,0,1,0,2
500,4760,340,40.433856,-3.6585971,2807915115.0,28027.0,0,0,1,0,2
502,9030,602,40.4752344,-3.6348247,2807916096.0,28033.0,5,2,1,0,2
507,5328,333,40.4657675,-3.6909696,2807906072.0,28020.0,3,1,1,0,2
510,15781,367,40.4344144,-3.690962,2807907082.0,28046.0,7,0,1,0,2
511,8000,500,40.4360789,-3.6824808,2807904126.0,28006.0,1,0,1,0,2
513,4000,250,40.4356789,-3.6812808,2807904126.0,28006.0,2,0,1,0,2
515,4966,301,40.418425,-3.6643525,2807903045.0,28007.0,10,2,1,0,2
516,7900,316,40.4544246,-3.6941006,2807906046.0,28020.0,5,4,1,0,2
518,2500,235,40.417264,-3.7223316,2807910017.0,28011.0,3,2,1,0,2
519,19131,642,40.4739253,-3.6877784,2807908098.0,28046.0,4,3,1,0,2
522,20315,478,40.4320514,-3.689501,2807904117.0,28001.0,7,0,1,0,2
524,7752,456,40.4597418,-3.693881,2807906064.0,28020.0,2,2,1,0,2
529,15781,367,40.4360144,-3.688062,2807907082.0,28010.0,7,0,1,0,2
530,6200,310,40.4590213,-3.6935724,2807906066.0,28020.0,1,0,1,0,2
537,5724,636,40.3837306,-3.6976015,2807912107.0,28026.0,1,2,1,0,2
539,15781,367,40.4360144,-3.689062,2807907082.0,28010.0,0,0,0,0,2
540,11250,625,40.4238799,-3.6861933,2807904004.0,28001.0,2,2,1,0,2
560,5544,396,40.4440911,-3.6586781,2807915147.0,28027.0,5,0,1,0,2
561,5516,394,40.4437911,-3.6556781,2807915147.0,28027.0,0,0,1,0,2
562,4564,326,40.4464911,-3.6578781,2807915147.0,28027.0,0,0,1,0,2
565,6600,275,40.4221891,-3.6830949,2807904012.0,28001.0,4,2,1,0,2
571,4760,340,40.433356,-3.6567971,2807915115.0,28027.0,0,0,1,0,2
572,6000,380,40.4373646,-3.6900638,2807905002.0,28006.0,1,2,1,0,2
576,6000,250,40.4586423,-3.6893955,2807906064.0,28046.0,8,0,1,0,2
578,5000,280,40.4228133,-3.6808617,2807904012.0,28001.0,2,2,1,0,2
591,9250,532,40.4151884,-3.690983,2807903070.0,28014.0,2,2,1,0,2
592,4300,430,40.4349541,-3.6277262,2807920119.0,28037.0,4,2,1,1,2
595,7183,422,40.4710029,-3.6415198,2807916048.0,28043.0,2,0,0,0,2
596,4569,268,40.4690029,-3.6389198,2807916048.0,28043.0,2,0,0,0,2
598,13080,436,40.4643487,-3.6929566,2807906070.0,28020.0,9,2,1,0,2
604,6930,330,40.4415779,-3.6811399,2807905013.0,28002.0,0,0,1,0,2
605,21206,785,40.4369851,-3.6776267,2807905014.0,28002.0,1,0,0,0,2
606,5475,202,40.4396851,-3.6767267,2807905014.0,28002.0,0,0,0,0,2
609,12218,379,40.4615201,-3.687071,2807905070.0,28036.0,2,2,1,0,2
611,12665,745,40.4644955,-3.7883434,2807909091.0,28023.0,0,0,1,0,2
616,2900,271,40.4156745,-3.7013084,2807901069.0,28012.0,4,1,1,0,2
623,4662,333,40.4675675,-3.6929696,2807906072.0,28020.0,3,0,0,0,2
631,3640,364,40.4714768,-3.8226976,2807909072.0,28023.0,1,2,1,1,2
637,4571,326,40.4454911,-3.6568781,2807915147.0,28027.0,0,2,1,0,2
641,10003,714,40.4454911,-3.6568781,2807915147.0,28027.0,6,2,1,0,2
642,7000,700,40.4710768,-3.8235976,2807909072.0,28023.0,2,0,1,1,2
650,8570,451,40.49923,-3.67264,2807908171.0,28050.0,1,3,1,0,2
660,7300,394,40.4296618,-3.6792399,2807904111.0,28006.0,1,3,1,0,2
663,9568,531,40.4325094,-3.7055213,2807907059.0,28010.0,2,0,1,0,2
670,11005,355,40.4618422,-3.6886257,2807905070.0,28046.0,4,2,1,0,2
673,11610,645,40.4739239,-3.6755552,2807905101.0,28036.0,2,0,1,0,2
675,4735,286,40.4652856,-3.6710802,2807905085.0,28016.0,0,0,1,0,2
677,4000,250,40.4357789,-3.6834808,2807904126.0,28006.0,2,2,1,0,2
678,21169,729,40.4194916,-3.688877,2807904001.0,28014.0,5,2,1,0,2
679,13855,500,40.4543614,-3.6947965,2807906046.0,28020.0,11,2,1,0,2
680,5910,295,40.4700629,-3.6840261,2807905094.0,28036.0,8,2,1,0,2
687,18000,531,40.4297039,-3.6839888,2807904116.0,28006.0,0,0,1,0,2
696,6500,300,40.4087407,-3.6812306,2807903074.0,28014.0,3,0,1,0,2
697,12800,350,40.453567,-3.690267,2807906029.0,28046.0,15,2,1,0,2
698,7200,400,40.45324,-3.69808,2807906039.0,28020.0,2,1,1,0,2
701,8612,325,40.4284031,-3.6832572,2807904115.0,28006.0,6,2,1,0,2
705,5019,478,40.4736885,-3.8263738,2807909072.0,28023.0,0,2,1,0,2
706,20820,578,40.436059,-3.691252,2807904130.0,28046.0,4,2,1,0,2
710,14496,453,40.4338689,-3.6864469,2807904118.0,28046.0,11,2,1,0,2
712,24672,771,40.4380336,-3.6911559,2807905002.0,28006.0,6,0,1,0,2
715,15240,762,40.4519221,-3.6928323,2807906029.0,28020.0,0,0,0,0,2
723,9900,395,40.4280275,-3.6893762,2807904006.0,28001.0,3,0,1,0,2
740,5330,333,40.4637675,-3.6889696,2807906072.0,28020.0,3,0,1,0,2
741,4400,200,40.419642,-3.7062255,2807901117.0,28013.0,8,0,1,0,2
745,12254,557,40.4066101,-3.692578,2807902079.0,28045.0,1,0,0,0,2
746,6600,300,40.4034101,-3.693178,2807902079.0,28045.0,0,0,0,0,2
750,4662,259,40.4763617,-3.6719747,2807915161.0,28033.0,4,2,1,0,2
751,5000,234,40.4240096,-3.6848354,2807904012.0,28001.0,1,2,1,0,2
754,4590,328,40.4856635,-3.6619575,2807916106.0,28050.0,6,2,1,0,2
755,4462,388,40.43724,-3.621601,2807920125.0,28037.0,2,2,1,0,2
757,4241,283,40.4779208,-3.7193673,2807908024.0,28035.0,0,2,1,0,2
759,3824,239,40.4982491,-3.6702145,2807908171.0,28050.0,0,2,1,0,2
761,3447,383,40.434468,-3.629567,2807920001.0,28037.0,4,2,1,0,2
764,3171,302,40.4376286,-3.6206325,2807920125.0,28037.0,2,2,1,0,2
769,4686,213,40.3945857,-3.6777021,2807902083.0,28045.0,9,0,1,0,2
770,5214,474,40.4329695,-3.6307828,2807920001.0,28037.0,0,0,1,0,2
771,10140,780,40.4343695,-3.6297828,2807920001.0,28037.0,1,0,1,0,2
774,9452,556,40.455525,-3.6911014,2807905068.0,28046.0,2,0,1,0,2
783,4830,230,40.4638269,-3.6924646,2807906065.0,28020.0,6,0,1,0,2
784,8570,451,40.49873,-3.67054,2807908171.0,28050.0,1,0,1,0,2
789,5800,225,40.4236807,-3.6866506,2807904005.0,28001.0,2,2,1,0,2
790,4200,270,40.4420767,-3.6835484,2807905001.0,28006.0,1,2,1,1,2
792,6766,520,40.4769393,-3.6344541,2807916096.0,28033.0,6,2,1,0,2
793,11840,592,40.4703629,-3.6854261,2807905094.0,28036.0,7,0,1,0,2
797,9536,596,40.4501626,-3.6938245,2807906029.0,28020.0,1,2,1,0,2
798,2365,215,40.4401306,-3.6263048,2807920119.0,28037.0,4,2,1,0,2
799,5660,283,40.4731629,-3.6849261,2807905094.0,28036.0,0,0,1,0,2
800,4340,310,40.4755393,-3.6352541,2807916096.0,28033.0,6,2,1,0,2
801,8627,595,40.4476963,-3.6317177,2807920099.0,28027.0,0,2,1,0,2
803,6600,275,40.4240891,-3.6849949,2807904012.0,28001.0,4,0,1,0,2
805,3080,280,40.4673755,-3.8018385,2807909072.0,28023.0,2,0,1,0,2
806,10868,572,40.4565116,-3.6655044,2807905053.0,28016.0,1,0,1,0,2
807,12464,656,40.4535116,-3.6628044,2807905053.0,28016.0,1,0,1,0,2
813,24688,771,40.4390362,-3.6891183,2807905002.0,28006.0,0,0,0,0,2
