,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
3098,13500,540,41.3946997,2.1445986,801905061.0,8021.0,0,0,0,0,2
3100,9500,528,41.3970023,2.1612443,801906045.0,8008.0,3,4,1,0,2
3102,4620,231,41.3922905,2.1310573,801904023.0,8017.0,5,2,1,0,2
3103,14388,872,41.3814793,2.1437356,801902126.0,8029.0,4,7,1,0,3
3105,10800,528,41.3977023,2.1579443,801906045.0,8008.0,1,4,1,0,2
3106,1150,72,41.3899813,2.1662278,801902077.0,8007.0,3,0,1,0,1
3107,16000,1650,41.398914,2.1387635,801905053.0,8021.0,0,0,0,0,3
3108,14500,301,41.398008,2.1528228,801905067.0,8006.0,1,2,1,0,2
3109,7600,615,41.3991616,2.1602908,801906045.0,8008.0,1,2,1,0,2
3115,5700,300,41.4048651,2.1942157,801910098.0,8018.0,0,0,0,0,2
3116,800,103,41.3762534,2.1553743,801902154.0,8015.0,0,1,1,0,1
3117,1500,112,41.3901347,2.1634168,801902081.0,8008.0,5,2,1,0,1
3122,2420,151,41.3887463,2.1661939,801902079.0,8007.0,3,2,1,0,1
3138,875,62,41.394424,2.1702613,801902072.0,8009.0,8,1,1,0,1
3140,2010,201,41.3894416,2.169235,801902077.0,8007.0,0,1,1,0,2
3141,2500,204,41.3884416,2.167835,801902077.0,8007.0,2,3,1,0,2
3142,1750,140,41.3956177,2.133558,801905053.0,8017.0,0,1,0,0,1
3143,1100,70,41.3972142,2.2020799,801910057.0,8005.0,2,1,1,0,1
3144,1800,140,41.3956142,2.2000799,801910057.0,8005.0,4,2,1,0,1
3145,900,70,41.3962142,2.2017799,801910057.0,8005.0,2,1,1,0,1
3146,30844,1402,41.3968832,2.1913092,801910043.0,8018.0,1,2,1,0,3
3147,1250,105,41.3881416,2.167835,801902077.0,8007.0,4,0,1,0,1
3148,10750,430,41.3961116,2.1475767,801905061.0,8021.0,2,0,1,0,2
3149,2010,201,41.3912416,2.169235,801902077.0,8007.0,0,0,1,0,2
3150,2500,204,41.3886416,2.170135,801902077.0,8007.0,2,0,1,0,2
3153,2550,177,41.3923596,2.1425636,801904019.0,8029.0,0,0,0,0,1
3154,2880,387,41.3896002,2.1626368,801902079.0,8007.0,0,0,1,0,2
3158,4388,325,41.3820873,2.1366866,801904005.0,8014.0,5,0,0,0,2
3159,12000,500,41.3897288,2.1667944,801902079.0,8007.0,1,2,1,0,2
3160,875,55,41.3791138,2.1442789,801902131.0,8015.0,1,1,1,0,1
3162,1500,120,41.3889039,2.1647709,801902079.0,8007.0,4,2,1,0,1
3165,4200,420,41.4293451,2.1856386,801909055.0,8027.0,3,2,1,0,2
3168,825,76,41.3778138,2.1443789,801902131.0,8015.0,1,1,1,0,1
3170,2562,188,41.4016939,2.1460233,801905075.0,8006.0,5,3,1,0,1
3172,1596,145,41.3836406,2.1375748,801904002.0,8029.0,3,2,1,0,1
3173,1800,146,41.3985735,2.1639652,801902082.0,8037.0,1,2,0,0,1
3175,2941,186,41.3862351,2.1381359,801904015.0,8029.0,1,2,1,0,1
3176,5240,262,41.3911442,2.167857,801902079.0,8007.0,4,2,1,0,2
3184,3411,341,41.3581575,2.1400825,801903030.0,8038.0,0,0,1,0,2
3187,2200,177,41.3927839,2.1673282,801902078.0,8007.0,4,2,1,0,1
3191,1800,120,41.3938722,2.145337,801905065.0,8021.0,5,2,1,0,1
3193,12217,643,41.4064079,2.2188096,801910080.0,8019.0,6,2,1,0,2
3195,6099,321,41.4087079,2.2164096,801910080.0,8019.0,5,2,1,0,2
3196,1650,155,41.4167793,2.1428989,801906012.0,8023.0,0,1,0,0,1
3197,13472,842,41.4064205,2.2107111,801910076.0,8019.0,6,6,1,0,3
3199,1000,78,41.3864435,2.1373978,801904002.0,8029.0,7,1,1,0,1
3203,24000,1000,41.3873288,2.1670944,801902079.0,8007.0,0,8,1,0,3
3205,4745,237,41.3970412,2.1560417,801906044.0,8006.0,6,2,1,0,2
3207,6475,350,41.4045997,2.2095219,801910076.0,8019.0,4,5,1,1,2
3208,1696,106,41.3913684,2.1656973,801902079.0,8013.0,1,0,1,0,1
3210,1250,124,41.3857996,2.1540827,801902100.0,8011.0,0,1,1,0,1
3212,600,62,41.3968877,2.1755939,801902066.0,8013.0,8,0,1,0,1
3213,700,85,41.3761734,2.1242248,801903079.0,8028.0,0,1,0,0,1
3214,2800,205,41.3800781,2.1498597,801902148.0,8015.0,4,0,1,0,2
3215,1200,95,41.3791781,2.1514597,801902148.0,8015.0,2,2,1,0,1
3220,3000,227,41.3909864,2.1739281,801902075.0,8010.0,4,2,1,0,2
3223,2390,232,41.3851605,2.1315387,801904030.0,8028.0,3,0,1,0,2
3228,1794,140,41.3836406,2.1361748,801904002.0,8029.0,2,1,1,0,1
3229,10750,430,41.3932116,2.1458767,801905061.0,8021.0,2,0,1,0,2
3230,2695,205,41.3810752,2.1493183,801902148.0,8015.0,4,2,1,0,2
3232,17640,840,41.4054818,2.1997429,801910069.0,8005.0,5,2,1,0,3
3233,910,73,41.3915121,2.1773569,801902074.0,8010.0,1,1,1,0,1
3234,860,66,41.3964454,2.1562608,801902085.0,8008.0,5,1,0,0,1
3235,850,81,41.3769138,2.1475789,801902131.0,8015.0,1,1,1,0,1
3236,2052,152,41.3923037,2.1635693,801902081.0,8007.0,8,2,1,0,1
3237,7524,396,41.3901742,2.1649594,801902081.0,8007.0,4,2,1,0,2
3238,15010,790,41.3903742,2.1636594,801902081.0,8007.0,4,2,1,0,2
3239,17880,894,41.3916176,2.1692427,801902078.0,8009.0,0,0,0,0,3
3240,9920,496,41.3916176,2.1690427,801902078.0,8009.0,4,0,0,0,2
3241,530,55,41.3900037,2.1407551,801904020.0,8029.0,0,1,0,0,1
3242,1100,75,41.3894089,2.1697329,801902077.0,8007.0,1,1,1,0,1
3243,3375,250,41.3938205,2.1583971,801902083.0,8008.0,5,0,0,0,2
3247,1249,95,41.3816752,2.1485183,801902148.0,8015.0,2,2,1,0,1
3248,2275,210,41.4287236,2.1861653,801909055.0,8027.0,1,2,1,0,2
3249,725,55,41.3794138,2.1469789,801902131.0,8015.0,1,1,1,0,1
3250,9500,639,41.3951159,2.1413387,801905059.0,8021.0,2,4,1,0,2
3251,4300,318,41.3945159,2.1435387,801905059.0,8021.0,2,2,1,0,2
3252,1696,106,41.3891684,2.1657973,801902079.0,8013.0,1,2,1,0,1
3254,4500,321,41.3943159,2.1428387,801905059.0,8021.0,2,2,1,0,2
3255,4200,420,41.4258236,2.1858653,801909055.0,8027.0,3,3,1,0,2
3259,5200,416,41.351773,2.1349856,801903025.0,8038.0,4,2,1,0,2
3260,1400,85,41.3894039,2.1617709,801902079.0,8007.0,4,0,1,0,1
3261,12550,1004,41.350973,2.1338856,801903025.0,8038.0,2,2,1,0,3
3262,19637,1571,41.350173,2.1363856,801903025.0,8038.0,2,2,1,0,3
3264,6000,250,41.3904288,2.1661944,801902079.0,8007.0,3,2,1,0,2
3269,24000,1000,41.3869288,2.1635944,801902079.0,8007.0,1,8,1,0,3
3270,9900,550,41.3770613,2.1469491,801903048.0,8014.0,3,0,1,0,2
3271,51225,2627,41.4048279,2.2061464,801910076.0,8019.0,11,2,1,0,3
3274,14290,733,41.4048279,2.2081464,801910076.0,8019.0,8,2,1,0,2
3275,18447,946,41.4035279,2.2051464,801910076.0,8019.0,10,2,1,0,3
3276,18904,945,41.3957454,2.1627937,801902082.0,8037.0,0,0,0,0,3
3278,3600,280,41.3908416,2.170035,801902077.0,8007.0,7,3,1,0,2
3280,850,51,41.3920804,2.1690522,801902072.0,8009.0,0,1,1,0,1
3281,12000,500,41.3889679,2.1646888,801902079.0,8007.0,1,0,1,0,2
3282,850,120,41.3868697,2.1468808,801902113.0,8029.0,2,0,0,0,1
3283,650,75,41.3861249,2.1512111,801902121.0,8029.0,1,0,0,0,1
3285,7866,437,41.3940677,2.1534577,801902085.0,8036.0,5,2,1,0,2
3293,1200,80,41.3961694,2.1492426,801905067.0,8006.0,7,1,1,0,1
3298,1300,107,41.3775389,2.1623958,801902172.0,8015.0,0,0,0,0,1
3299,280,33,41.41329,2.1633197,801907017.0,8024.0,0,1,1,0,1
3301,3000,250,41.3872134,2.1337131,801904025.0,8014.0,0,2,0,0,2
3302,20080,1255,41.4106998,2.2216102,801910081.0,8019.0,5,1,1,0,3
3305,2000,160,41.3899039,2.1630709,801902079.0,8007.0,2,2,1,0,1
3306,26968,1383,41.4091205,2.2092111,801910076.0,8019.0,4,1,1,0,3
